"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","class","acceptedUsageKey","synonym","verbatim_name","verbatim_index"
3586563,"Passiflora skiantha Huber","Passiflora skiantha","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malpighiales","Passifloraceae","Passiflora","Passiflora skiantha",6,7707728,220,1414,2378,2874172,3586563,"Magnoliopsida",NA,NA,"Passiflora skiantha",216
2898690,"Palicourea nigricans K.Krause","Palicourea nigricans","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Gentianales","Rubiaceae","Palicourea","Palicourea nigricans",6,7707728,220,412,8798,2898662,2898690,"Magnoliopsida",NA,NA,"Palicourea nigricans",217
3152775,"Malvaviscus arboreus Cav.","Malvaviscus arboreus","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Malvaviscus","Malvaviscus arboreus",6,7707728,220,941,6685,3152774,3152775,"Magnoliopsida",NA,NA,"Malvaviscus arboreus",218
7279485,"Abutilon darwinii Hook.fil.","Abutilon darwinii","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Callianthe","Callianthe darwinii",6,7707728,220,941,6685,8207961,7389382,"Magnoliopsida",7389382,NA,"Abutilon darwinii",219
6365702,"Besleria solanoides Kunth","Besleria solanoides","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Besleria","Besleria solanoides",6,7707728,220,408,6654,6365035,6365702,"Magnoliopsida",NA,NA,"Besleria solanoides",220
2754074,"Bomarea pardina Herb.","Bomarea pardina","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Liliales","Alstroemeriaceae","Bomarea","Bomarea pardina",6,7707728,196,1172,7695,2753928,2754074,"Liliopsida",NA,NA,"Bomarea pardina",221
5341759,"Brugmansia arborea (L.) Steud.","Brugmansia arborea","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Solanales","Solanaceae","Brugmansia","Brugmansia arborea",6,7707728,220,1176,7717,2928883,5341759,"Magnoliopsida",NA,NA,"Brugmansia arborea",222
3161658,"Burmeistera cyclostigmata Donn.Sm.","Burmeistera cyclostigmata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Campanulaceae","Burmeistera","Burmeistera cyclostigmata",6,7707728,220,414,8801,3161537,3161658,"Magnoliopsida",NA,NA,"Burmeistera cyclostigmata",223
5683153,"Cavendishia grandifolia Herold","Cavendishia grandifolia","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Cavendishia","Cavendishia grandifolia",6,7707728,220,1353,2505,3234119,5683153,"Magnoliopsida",NA,NA,"Cavendishia grandifolia",224
7327933,"Cavendishia tarapotana (Meisn.) Benth. & Hook.fil.","Cavendishia tarapotana","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Ericales","Ericaceae","Cavendishia","Cavendishia tarapotana",6,7707728,220,1353,2505,3234119,7327933,"Magnoliopsida",NA,NA,"Cavendishia tarapotana",225
5590968,"Columnea ciliata (Wiehler) L.P.Kvist & L.E.Skog","Columnea ciliata","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Columnea","Columnea ciliata",6,7707728,220,408,6654,3172890,5590968,"Magnoliopsida",NA,NA,"Columnea ciliata",226
5589529,"Columnea medicinalis (Wiehler) L.P.Kvist & L.E.Skog","Columnea medicinalis","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Columnea","Columnea medicinalis",6,7707728,220,408,6654,3172890,5589529,"Magnoliopsida",NA,NA,"Columnea medicinalis",227
5592044,"Columnea strigosa Benth.","Columnea strigosa","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Columnea","Columnea strigosa",6,7707728,220,408,6654,3172890,5592044,"Magnoliopsida",NA,NA,"Columnea strigosa",228
7322218,"Fuchsia macrostigma Benth.","Fuchsia macrostigma","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Myrtales","Onagraceae","Fuchsia","Fuchsia macrostigma",6,7707728,220,690,2430,5938221,7322218,"Magnoliopsida",NA,NA,"Fuchsia macrostigma",229
3819121,"Glossoloma bolivianum (Britton ex Rusby) J.L.Clark","Glossoloma bolivianum","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Lamiales","Gesneriaceae","Glossoloma","Glossoloma bolivianum",6,7707728,220,408,6654,8024243,3819121,"Magnoliopsida",NA,NA,"Glossoloma bolivianum",230
2699250,"Guzmania danielii L.B.Sm.","Guzmania danielii","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania danielii",6,7707728,196,1369,3740,2698853,2699250,"Liliopsida",NA,NA,"Guzmania danielii",231
2698966,"Guzmania jaramilloi H.Luther","Guzmania jaramilloi","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Bromeliaceae","Guzmania","Guzmania jaramilloi",6,7707728,196,1369,3740,2698853,2698966,"Liliopsida",NA,NA,"Guzmania jaramilloi",232
