Dataset:              'els-ii summer seasonal chem'
              MAPBG99          MAP SHEET NAME (1:250,000 SCALE)
              MAPSM99          MAP SHEET NAME, 15 OR 7.5 QUAD
              MG11             MAGNESIUM (mg/l) FORM 11
              MG98             MAGNESIUM (ueq/l)
              MN11             MANGANESE (ug/l) FORM 11
              NA11             SODIUM (mg/l) FORM 11
              NA98             SODIUM (ueq/l)
              NH411            AMMONIUM ION (mg/l) FORM 11
              NH498            AMMONIUM (ueq/l)
              NO311            NITRATE ION (mg/l) FORM 11
              NO398            NITRATE (ueq/l)
              NO3DP99          NITRATE DEPOSITION (G/M**2/YR)
              ORGIO98          ORGANIC ANION (ueq/l)
              PH0051D          PH AT 0.5 M FORM 1D
              PH0151D          PH AT 1.5 M FORM 1D
              PH02             STATION PH FORM 2
              PHAC11           ACIDITY INITIAL PH FORM 11
              PHAL11           ALKALINITY INITIAL PH FORM 11
              PHEQ11           AIR-EQUILIBRATED PH FORM 11
              PHMH1D           PH AT MID-HYP FORM 1D
              PHMM1D           PH AT MID-MET FORM 1D
              PHTH1D           PH AT TOP-HYP FORM 1D
              PH_B1D           PH AT BTM-1.5M FORM 1D
              PRCIP99          PRECIPITATION (m/yr)
              PREC1D           PRECIPITATION FORM 1D
              PRECO1D          PRECIPITATION OBS (PREV/CURRENT) FORM 1D
              PTL11            TOTAL PHOSPHORUS (ug/l) FORM 11
              RGSPC99          REG SPEC LTM NRC DEW DER SAMPLE CLASS
              RPREC1D          RATE OF PRECIPITATION FORM 1D
              RT99             RESIDENCE TIME (YR)
              RTX99            RESIDENCE TIME (YR) - ALSC
              RUNIN99          ANNUAL RUNOFF INCHES FROM DIGIT MAP
              RUNOF99          SURFACE WATER RUNOFF (m/yr)
              RUNOFX99         SURFACE WATER RUNOFF (m/yr) - ALSC
              SBRGN99          NSWS SUBREGION,
              SECDI1D          SECCHI DEPTH: DISAPPEAR (m) FORM 1D
              SECDV1D          SECCHI DEPTH Y=VISIBLE TO BOTTOM FORM 1D
              SECME98          MEAN: SECHI DISK DISAPPEAR ,REAPPEAR (m)
              SECRE1D          SECCHI DEPTH: REAPPEAR (m) FORM 1D
              SIO211           SILICA (mg/l) FORM 11
              SITETYP          SAMPLING SITE OR TYPE CODE
              SO411            SULFATE ION (mg/l) FORM 11
              SO498            SULFATE (ueq/l)
              SO4DP99          SULFATE DEPOSITION (G/M**2/YR)
              SOBC98           SUM OF BASE CATIONS (ueq/l)
              SPLCD02          SPLIT/SAMPLE CODE TO LAS VEGAS FORM 2
              ST99             STATE (TWO-LETTER ABBREV)
              STRAT99          NSWS STRATA
              T0051D           TEMPERATURE AT 0.5 M (DEG C) FORM 1D
              T0151D           TEMPERATURE AT 1.5 M (DEG C) FORM 1D
              T0251D           TEMPERATURE AT 2.5 M (DEG C) FORM 1D
              T0351D           TEMPERATURE AT 3.5 M (DEG C) FORM 1D
              T0451D           TEMPERATURE AT 4.5 M (DEG C) FORM 1D
              T0551D           TEMPERATURE AT 5.5 M (DEG C) FORM 1D
              T0651D           TEMPERATURE AT 6.5 M (DEG C) FORM 1D
              T0751D           TEMPERATURE AT 7.5 M (DEG C) FORM 1D
              T0851D           TEMPERATURE AT 8.5 M (DEG C) FORM 1D
              T0951D           TEMPERATURE AT 9.5 M (DEG C) FORM 1D
              T1051D           TEMPERATURE AT 10.5 M (DEG C) FORM 1D
              T1251D           TEMPERATURE AT 12.5 M (DEG C) FORM 1D
              T1451D           TEMPERATURE AT 14.5 M (DEG C) FORM 1D
              T1651D           TEMPERATURE AT 16.5 M (DEG C) FORM 1D
              T1851D           TEMPERATURE AT 18.5 M (DEG C) FORM 1D
              T2051D           TEMPERATURE AT 20.5 M (DEG C) FORM 1D
              T2251D           TEMPERATURE AT 22.5 M (DEG C) FORM 1D
              T2451D           TEMPERATURE AT 24.5 M (DEG C) FORM 1D
              T2651D           TEMPERATURE AT 26.5 M (DEG C) FORM 1D
              T2851D           TEMPERATURE AT 28.5 M (DEG C) FORM 1D
              T3051D           TEMPERATURE AT 30.5 M (DEG C) FORM 1D
              T3251D           TEMPERATURE AT 32.5 M (DEG C) FORM 1D
              T3451D           TEMPERATURE AT 34.5 M (DEG C) FORM 1D
              T3651D           TEMPERATURE AT 36.5 M (DEG C) FORM 1D
              T3851D           TEMPERATURE AT 38.5 M (DEG C) FORM 1D
              TIMSM1D          TIME SAMPLED (24 H) HH:MM FORM 1D
              TMPA1D           AIR TEMPERATURE (DEG C) FORM 1D
              TMPMH1D          TEMPERATURE AT MID-HYP (DEG C) FORM 1D
              TMPMM1D          TEMPERATURE AT MID-MET (DEG C) FORM 1D
              TMPTH1D          TEMPERATURE AT TOP-HYP (DEG C) FORM 1D
              TMP_B1D          TEMPERATURE AT BTM-1.5M (DEG C) FORM 1D
              TUR02            TURBIDITY (NTU) FORM 2
              WALA99           WATERSHED AREA/LAKE AREA
              WALAX99          WATERSHED AREA/LAKE AREA - ALSC
              WDIR1D           ESTIMATED WIND DIRECTION FORM 1D
              WSDIS99          D)WELL I)ND L)OG M)INE R)OAD S)TOCK
              WSHED99          WATERSHED AREA (ha)
              WSHEDX99         WATERSHED AREA (ha) - ALSC
              WSOTH99          DISTURB W/I 100M - OTHER
              WSPD1D           ESTIMATED WIND SPEED FORM 1D
              WT1M99           MODIFIED PHASE I WEIGHT
              WT1O_99          ORIGINAL PHASE I WEIGHT
              WT2C99           CONDITIONAL PHASE II WEIGHT
              WT2T99           TOTAL PHASE II WEIGHT

ACCES1D,ACCO11,ALD02,ALDI98,ALEX11,ALKA11,ALO_02,ALTL11,ANCAT98,ANDEF98,ANSUM98,BNSTR99,C0051D,C0151D,C0251D,C0351D,C0451D,C0551D,C0651D,C0751D,C0851D,C0951D,C1051D,C1251D,C1451D,C1651D,C1851D,C2051D,C2251D,C2451D,C2651D,C2851D,C3051D,C3251D,C3451D,C3651D,C3851D,CA11,CA98,CATSU98,CHLOD1D,CHLOR1D,CL11,CL98,CLSTR99,CNTY99,CO398,COLOR02,COMNT1DA,COMNT1DB,COND11,CONMH1D,CONMM1D,CONTH1D,CON_B1D,CRWID1D,DATSMP,DIC02,DICE11,DICI11,DISM99,DOC11,DOMH1D,DOMM1D,DOTH1D,DO_051D,DO_151D,DO_B1D,DPMH1D,DPMM1D,DPSCB1D,DPSCM1D,DPSIT1D,DPSITX1D,DPTH1D,DP_B1D,DRPCDE,ELEV99,ELEVX99,FE11,FTL11,FTL98,H98,HCO398,HDEP99,HYDID1D,HYTYP99,INOUT99,K11,K98,LABNA02,LAKE_ID,LAT99,LATDD99,LKID99,LKNAM99,LKSIZ99,LKSIZX99,LKVOL99,LKVOLX99,LNGDD99,LONG99,MAPBG99,MAPSM99,MG11,MG98,MN11,NA11,NA98,NH411,NH498,NO311,NO398,NO3DP99,ORGIO98,PH0051D,PH0151D,PH02,PHAC11,PHAL11,PHEQ11,PHMH1D,PHMM1D,PHTH1D,PH_B1D,PRCIP99,PREC1D,PRECO1D,PTL11,RGSPC99,RPREC1D,RT99,RTX99,RUNIN99,RUNOF99,RUNOFX99,SBRGN99,SECDI1D,SECDV1D,SECME98,SECRE1D,SIO211,SITETYP,SO411,SO498,SO4DP99,SOBC98,SPLCD02,ST99,STRAT99,T0051D,T0151D,T0251D,T0351D,T0451D,T0551D,T0651D,T0751D,T0851D,T0951D,T1051D,T1251D,T1451D,T1651D,T1851D,T2051D,T2251D,T2451D,T2651D,T2851D,T3051D,T3251D,T3451D,T3651D,T3851D,TIMSM1D,TMPA1D,TMPMH1D,TMPMM1D,TMPTH1D,TMP_B1D,TUR02,WALA99,WALAX99,WDIR1D,WSDIS99,WSHED99,WSHEDX99,WSOTH99,WSPD1D,WT1M99,WT1O_99,WT2C99,WT2T99?
