"","Name","ID","NROW"
"178","Aphelandra macrostachya",178,57
"179","Justicia cuatrecasasii",179,2
"180","Tabernaemontana macrocalyx",180,476
"181","Aechmea chantinii",181,132
"182","Aechmea contracta",182,150
"183","Aechmea corymbosa",183,208
"184","Aechmea rubiginosa",184,83
"185","Billbergia decora",185,30
"186","Vriesea chrysostachys",186,0
"187","Symphonia globulifera",187,3303
"188","Costus scaber",188,1949
"189","Gurania rufipila",189,14
"190","Satyria panurensis",190,690
"191","Ryania pyrifera",191,162
"192","Tachia occidentalis",192,235
"193","Alloplectus savanarum",193,0
"194","Columnea ericae",194,522
"195","Drymonia semicordata",195,527
"196","Heliconia tarumaensis",196,0
"197","Psittacanthus lasianthus",197,29
"198","Calathea zingiberea",198,0
"199","Monotagma secundum",199,147
"200","Ischnosiphon lasiocoleus",200,99
"201","Zygia lathetica",201,65
"202","Passiflora vitifolia",202,1915
"203","Ferdinandusa sprucei",203,45
"204","Isertia hypoleuca",204,635
"205","Isertia rosea",205,264
"206","Palicourea subspicata",206,290
"207","Pslicourea quadrifolia",207,0
"208","Psychotria bahiensis",208,661
"209","Psychotria platypoda",209,0
"210","Psychotria peppigiana",210,0
"211","Retiniphyllum rhabdocalyx",211,0
"212","Decagonocarpus cornutus",212,14
"213","Markea coccinea",213,311
"214","Amasonia arborea",214,78
"215","Payparola hulkiana",215,0
"216","Heliconia acuminata",216,978
"217","Passiflora skiantha",217,7
"218","Palicourea nigricans",218,446
"219","Malvaviscus arboreus",219,14258
"220","Abutilon darwinii",220,0
"221","Besleria solanoides",221,1439
"222","Bomarea pardina",222,257
"223","Brugmansia arborea",223,438
"224","Burmeistera cyclostigmata",224,467
"225","Cavendishia grandifolia",225,110
"226","Cavendishia tarapotana",226,437
"227","Columnea ciliata",227,171
"228","Columnea medicinalis",228,316
"229","Columnea strigosa",229,878
"230","Fuchsia macrostigma",230,153
"231","Glossoloma bolivianum",231,60
"232","Guzmania danielii",232,31
"233","Guzmania jaramilloi",233,116
"234","Guzmania teuscheri",234,46
"235","Heliconia burleana",235,205
"236","Hibiscus rosa-sinensis",236,3216
"237","Kohleria spicata",237,1757
"238","Macleania pentaptera",238,84
"239","Macleania recumbens",239,52
"240","Palicourea anderssoniana",240,33
"241","Palicourea demissa",241,729
"242","Palicourea sodiroi",242,58
"243","Pitcairnia nigra",243,219
"244","Psammisia aberrans",244,137
"245","Psammisia ecuadorensis",245,111
"246","Psammisia oreogenes",246,18
"247","Psammisia pauciflora",247,0
"248","Psammisia sodiroi",248,256
"249","Psammisia ulbrichiana",249,486
"250","Renealmia sessilifolia",250,103
"251","Bomarea multiflora",251,844
"252","Burmeistera multiflora",252,114
"253","Calathea ischnosiphonoides",253,29
"254","Centropogon preslii",254,30
"255","Centropogon solanifolius",255,556
"256","Columnea mastersonii",256,92
"257","Columnea picta",257,480
"258","Drymonia brochidodroma",258,123
"259","Drymonia collegarum",259,65
"260","Drymonia tenuis",260,158
"261","Drymonia teuscheri",261,647
"262","Erythrina megistophylla",262,0
"263","Gasteranthus lateralis",263,66
"264","Gasteranthus pansamalanus",264,280
"265","Gasteranthus quitensis",265,231
"266","Glossoloma oblongicalyx",266,127
"267","Guzmania amplectens",267,20
"268","Guzmania lehmanniana",268,176
"269","Guzmania squarrosa",269,349
"270","Heliconia impudica",270,40
"271","Kohleria affinis",271,638
"272","Kohleria villosa",272,248
"273","Macleania bullata",273,143
"274","Macleania stricta",274,136
"275","Meriania tomentosa",275,665
"276","Mezobromelia capituligera",276,0
"277","Mikania websteri",277,3
"278","Palicourea acetosoides",278,265
"279","Palicourea lineata",279,149
"280","Pitcairnia sodiroi",280,67
"281","Sarcopera anomala",281,130
"282","Besleria riparia",282,43
"283","Bomarea carderi",283,114
"284","Bomarea patinii",284,224
"285","Cavendishia bracteata",285,4353
"286","Cavendishia nitida",286,141
"287","Centropogon curvatus",287,85
"288","Centropogon ferrugineus",288,608
"289","Columnea dimidiata",289,296
"290","Elleanthus aurantiacus",290,861
"291","Fuchsia venusta",291,109
"292","Gasteranthus calcaratus",292,321
"293","Glossoloma baguense",293,86
"294","Glossoloma ichthyoderma",294,916
"295","Glossoloma schultzei",295,529
"296","Guzmania gloriosa",296,231
"297","Guzmania multiflora",297,192
"298","Heliconia griggsiana",298,121
"299","Heliconia venusta",299,128
"300","Iochroma gesnerioides",300,122
"301","Kohleria inaequalis",301,384
"302","Kohleria trianae",302,83
"303","Kohleria warszewiczii",303,156
"304","Macrocarpaea macrophylla",304,242
"305","Palicourea angustifolia",305,1462
"306","Palicourea cuatrecasasii",306,89
"307","Palicourea ovalis",307,93
"308","Reldia grandiflora",308,24
"309","Salvia scutellarioides",309,476
"310","Stenostephanus sanguineus",310,98
"311","Streptosolen jamesonii",311,829
"312","Thibaudia floribunda",312,427
"313","Vriesea tequendamae",313,125
"314","Palicourea crocea",314,1966
"315","Isertia parviflora",315,427
"316","Cordia curassavica",316,0
"317","Cordia bicolor",317,861
"318","Norantea guianensis",318,918
"319","Heliconia psittacorum",319,3737
"320","Gonzalagunia hirsuta",320,355
"321","Hamelia patens",321,11534
"322","Aechmea aquilega",322,471
"323","Aechmea dichlamydea",323,10
"324","Aechmea fendleri",324,15
"325","Aegiphila perplexa",325,10
"326","Albizia saman",326,0
"327","Billbergia pyramidalis",327,252
"328","Brownea coccinea capitella",328,0
"329","Calliandra guildingii",329,78
"330","Chelonanthus alatus",330,1637
"331","Clathrotropis brachypetala",331,139
"332","Costus spiralis",332,1330
"333","Cuspidaria inaequalis",333,292
"334","Dolichandra unguis-cati",334,6084
"335","Erythrina corallodendron",335,55
"336","Erythrina fusca",336,1622
"337","Erythrina poeppigiana",337,951
"338","Gurania lobata",338,1315
"339","Guzmania monostachia",339,1028
"340","Heliconia bihai",340,1052
"341","Heliconia hirsuta",341,1476
"342","Inga ingoides",342,611
"343","Inga venosa",343,1
"344","Ischnosiphon arouma",344,522
"345","Mandevilla hirsuta",345,1803
"346","Pachystachys coccinea",346,178
"347","Abarema jupunba",347,0
"348","Psychotria mapourioides",348,0
"349","Psychotria muscosa",349,0
"350","Ryania speciosa",350,1548
"351","Syzygium jambos",351,3600
"352","Tabebuia stenocalyx",352,111
"353","Tabernaemontana cymosa",353,565
"354","Tillandsia fasciculata",354,4943
"355","Tillandsia utriculata",355,2197
"356","Vitex divaricata",356,84
"357","Vriesea procera",357,339
"358","Warszewiczia coccinea",358,2143
"359","Glossoloma purpureum",359,111
"360","Guzmania fuscispica",360,3
"361","Heliconia virginalis",361,17
"362","Justicia secunda",362,346
"363","Salvia quitensis",363,45
"364","Stromanthe stromanthoides",364,227
"365","Calathea capitata",365,0
"366","Combretum llewelynii",366,88
"367","Cuphea melvilla",367,713
"368","Genipa americana",368,17155
"369","Gurania rhizantha",369,134
"370","Heliconia juruana",370,135
"371","Heliconia schumanniana",371,335
"372","Heliconia stricta",372,626
"373","Inga leiocalycina",373,0
"374","Palicourea lasiantha",374,770
"375","Palicourea fastigiata",375,200
"376","Passiflora involucrata",376,98
"377","Passiflora quadriglandulosa",377,257
"378","Passiflora spinosa",378,216
"379","Psittacanthus cucullaris",379,388
"380","Quararibea lasiocalyx",380,0
"381","Sanchezia munita",381,14
"382","Sanchezia putumayensis",382,37
"383","Aechmea williamsii",383,12
"384","Syzygium malaccense",384,1160
"385","Tachigali paniculata",385,706
"386","Mendoncia coccinea",386,47
"387","Psittacanthus dichrous",387,156
"388","Aechmea pectinata",388,69
"389","Heliconia angusta",389,259
"390","Heliconia spathocircinata",390,489
"391","Nidularium seidelii",391,0
"392","Psychotria nuda",392,860
"393","Schwartzia brasiliensis",393,275
"394","Vriesea ensiformis",394,293
"395","Vriesea rodigasiana",395,269
"396","Neoregelia johannis",396,31
"397","Quesnelia arvensis",397,54
"398","Quesnelia humilis",398,22
"399","Quesnelia marmorata",399,25
"400","Vriesea flammea",400,199
"401","Vriesea philippocoburgii",401,0
"402","Vriesea scalaris",402,130
"403","Buddleja brasiliensis",403,29
"404","Dahlstedtia pinnata",404,209
"405","Nematanthus fissus",405,138
"406","Manettia gracilis",406,160
"407","Psychotria nemorosa",407,660
"408","Canistrum terminalis",408,0
"409","Inga edulis",409,3281
"410","Abarema brachystachya",410,0
"411","Cordia multispicata",411,0
"412","Couepia schottii",412,30
"413","Dombeya wallichii",413,212
"414","Eriotheca pentaphylla",414,57
"415","Talipariti tiliaceum",415,3902
"416","Inga luschnathiana",416,0
"417","Jacaranda puberula",417,728
"418","Jacquemontia sphaerostigma",418,348
"419","Lantana nivea",419,186
"420","Lundia cordata",420,0
"421","Maranta furcata",421,6
"422","Marcgravia myriostigma",422,26
"423","Sabicea grisea",423,207
"424","Tabebuia cassinoides",424,157
"425","Albizia pedicellaris",425,0
"426","Declieuxia fruticosa",426,2441
"427","Aechmea bromeliifolia",427,676
"428","Aechmea phanerophlebia",428,87
"429","Agalinis angustifolia",429,59
"430","Eremanthus bicolor",430,0
"431","Lepidaploa lilacina",431,164
